dataset,press,compression_ratio,samples,context_tokens,max_new_tokens,avg_latency_s,throughput_tokens_s,speedup_vs_none
wikitext,none,0.0,3,1024,64,0.8147079666666741,78.55575570452801,1.0
wikitext,adakv,0.5,3,1024,64,0.9539355333333219,67.09048752630673,0.854049291800519
wikitext,streaming_llm,0.5,3,1024,64,0.7505187333333273,85.27435380027447,1.0855264905224404
wikitext,knorm,0.5,3,1024,64,0.739672566666646,86.52477174923182,1.1014440759080428
wikitext,snapkv,0.5,3,1024,64,0.7471069000000057,85.66377850345046,1.0904837937739136
pg19,none,0.0,3,1024,64,0.8654243000000102,73.95216427363923,1.0
pg19,adakv,0.5,3,1024,64,0.985042066666665,64.97184451885687,0.878565829100644
pg19,streaming_llm,0.5,3,1024,64,0.7776983666667169,82.29411651500516,1.1128020027987129
pg19,knorm,0.5,3,1024,64,0.7690686000000065,83.21754392260905,1.125288823389751
pg19,snapkv,0.5,3,1024,64,0.8105137333333232,78.96226475619758,1.0677478547351216
